dataset,country_code,country,series,sector_code,unit,theme,period,value
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2005-11,3375301.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2005-12,3404842.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2006-01,3439678.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2006-02,3479069.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2006-03,3520169.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2006-04,3562919.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2006-05,3590824.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2006-06,3635421.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2006-07,3680512.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2006-08,3673974.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2006-09,3726397.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2006-10,3763628.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2006-11,3801863.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2006-12,3839537.0
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2007-01,3894570.057
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2007-02,3914935.337
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2007-03,3951572.0229999996
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2007-04,3990478.64
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2007-05,4040039.0889999997
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2007-06,4100318.042
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2007-07,4163707.539
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2007-08,4181431.528
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2007-09,4226209.802
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2007-10,4267546.398
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2007-11,4319915.574999999
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2007-12,4389025.693
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2008-01,4461207.913
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2008-02,4498599.822000001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2008-03,4548606.684
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2008-04,4592527.496
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2008-05,4620188.217
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2008-06,4671969.136
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2008-07,4710388.147
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2008-08,4723388.0479999995
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2008-09,4762655.849
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2008-10,4817394.094
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2008-11,4843780.597
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2008-12,4826988.714000001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2009-01,4877118.408
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2009-02,4864966.589000001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2009-03,4843931.815999999
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2009-04,4846358.862
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2009-05,4828254.884000001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2009-06,4804951.256
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2009-07,4787319.745
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2009-08,4755468.601000001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2009-09,4741388.369
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2009-10,4722029.679
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2009-11,4720760.2930000005
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2009-12,4691298.975000001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2010-01,4685965.528000001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2010-02,4689033.0770000005
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2010-03,4679720.290999999
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2010-04,4666454.266
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2010-05,4687423.271000001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2010-06,4697866.365
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2010-07,4680807.465000001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2010-08,4670731.855
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2010-09,4687454.737000001
BSI,U2,Euro area,NFC loans — outstanding,NFC_total,EUR,"Money, credit & banking",2010-10,4673313.579
